caseid_new,w1_weight_combo,w1_ppage,w1_ppgender_num,w1_married,w1_q24_met_online,w2_surveyed,w3_surveyed,w1_same_sex_couple_num,w1_relate_duration_in2017_years,w1_q34_score,w2_attrition_adj_weights,w3_attrition_adj_weight
53001.0,0.4268607795238495,48.0,1,1.0,0.0,1,1,0.0,3.5833332538604736,5.0,0.380351185798645,0.4001846313476562
71609.0,1.2955082654953003,68.0,1,1.0,0.0,1,1,0.0,52.75,5.0,0.9539480209350586,0.8792577981948853
106983.0,1.1265732049942017,39.0,0,1.0,0.0,1,1,0.0,17.58333396911621,5.0,0.7246816754341125,0.7064666152000427
121759.0,0.9334399104118348,54.0,0,1.0,0.0,1,0,0.0,27.41666603088379,5.0,0.7930925488471985,0.7037667632102966
164061.0,0.9312914609909058,59.0,0,1.0,0.0,1,1,0.0,23.58333396911621,5.0,0.6054039597511292,0.3426263332366943
212249.0,1.347070813179016,55.0,1,1.0,0.0,1,1,0.0,34.25,4.0,1.6955828666687012,1.1420179605484009
214227.0,0.975956380367279,73.0,1,1.0,0.0,1,1,0.0,23.66666603088379,5.0,0.7300180792808533,0.886445164680481
218351.0,0.966458022594452,46.0,0,1.0,0.0,1,1,0.0,21.0,4.0,0.5603209137916565,0.5489994883537292
220655.0,0.4561473727226257,43.0,0,1.0,0.0,1,1,0.0,16.41666603088379,3.0,0.3038253486156463,0.4070549011230469
291177.0,1.1310962438583374,57.0,1,0.0,0.0,1,1,0.0,3.4166667461395264,4.0,0.7699441909790039,0.9713047742843628
328443.0,0.3784643709659576,50.0,1,1.0,0.0,0,0,0.0,33.41666793823242,5.0,0.7667275965213776,0.7037667632102966
369975.0,1.4581111669540403,54.0,1,1.0,0.0,1,1,0.0,29.83333396911621,4.0,1.9137104749679563,1.8905317783355715
428211.0,1.71388840675354,61.0,1,1.0,0.0,1,1,0.0,28.91666603088379,4.0,1.6865205764770508,2.038987636566162
497203.0,1.0101052522659302,59.0,0,1.0,0.0,1,1,0.0,26.75,4.0,0.456437736749649,0.3476110100746155
498705.0,1.0612154006958008,58.0,1,1.0,0.0,0,0,0.0,28.0,5.0,0.7667275965213776,0.7037667632102966
507747.0,1.0976258516311646,59.0,1,1.0,0.0,1,0,0.0,35.91666793823242,5.0,0.8750550746917725,0.7037667632102966
516823.0,0.8472762107849121,81.0,1,1.0,0.0,1,1,0.0,62.91666793823242,5.0,0.6745592355728149,0.7452540397644043
519265.0,1.0453848838806152,46.0,1,1.0,0.0,0,0,0.0,24.5,5.0,0.7667275965213776,0.7037667632102966
582849.0,1.0729752779006958,43.0,1,1.0,0.0,1,1,0.0,24.41666603088379,4.0,1.1625362634658811,1.105244278907776
585169.0,1.01881206035614,70.0,1,1.0,0.0,1,1,0.0,47.08333206176758,5.0,0.8371280431747437,0.8749175071716309
587121.0,0.8666121363639832,80.0,0,1.0,0.0,1,1,0.0,10.333333015441896,5.0,0.9110411405563354,0.6611392498016357
587125.0,0.8866265416145325,53.0,1,1.0,0.0,1,1,0.0,17.75,4.0,0.5487209558486938,0.50258868932724
589881.0,0.8071343898773193,51.0,0,1.0,0.0,1,1,0.0,18.08333396911621,5.0,0.5407548546791077,0.3813421428203583
606657.0,1.033172607421875,46.0,1,0.0,1.0,1,1,0.0,1.6666666269302368,4.0,0.724546492099762,0.7799047827720642
606929.0,0.9880554676055908,56.0,1,1.0,0.0,0,0,0.0,38.91666793823242,5.0,0.7667275965213776,0.7037667632102966
608697.0,0.8789374232292175,40.0,0,1.0,0.0,1,1,0.0,18.08333396911621,3.0,0.8049988746643066,0.6501043438911438
616029.0,1.2102491855621338,36.0,1,1.0,0.0,0,1,0.0,10.916666984558104,4.0,0.7667275965213776,1.1696830987930298
616985.0,0.9206623435020448,56.0,0,0.0,0.0,1,0,0.0,35.83333206176758,4.0,0.7055037617683411,0.7037667632102966
621425.0,0.41069096326828,47.0,0,1.0,0.0,0,0,0.0,24.08333396911621,5.0,0.7667275965213776,0.7037667632102966
621641.0,0.9661187529563904,61.0,1,1.0,0.0,1,1,0.0,28.83333396911621,5.0,0.6784199476242065,0.6661431193351746
623465.0,0.2157699763774871,46.0,1,1.0,0.0,0,1,0.0,23.66666603088379,5.0,0.7667275965213776,0.1086439117789268
623813.0,0.7493526935577393,78.0,0,1.0,0.0,0,0,0.0,28.08333396911621,4.0,0.7667275965213776,0.7037667632102966
626591.0,0.9584296345710754,64.0,0,1.0,0.0,1,0,0.0,26.5,5.0,0.7657113075256348,0.7037667632102966
627633.0,1.2088923454284668,55.0,1,1.0,0.0,0,0,0.0,34.33333206176758,5.0,0.7667275965213776,0.7037667632102966
629075.0,1.0127060413360596,50.0,0,1.0,0.0,0,0,0.0,31.16666603088379,4.0,0.7667275965213776,0.7037667632102966
632159.0,0.8100743293762207,50.0,0,1.0,0.0,1,1,0.0,2.75,1.0,0.6306949257850647,0.531938374042511
632253.0,1.0648338794708252,39.0,0,1.0,0.0,1,1,0.0,5.833333492279053,5.0,0.919860064983368,0.6576403379440308
634833.0,0.9121816754341124,36.0,0,1.0,0.0,1,1,0.0,5.666666507720947,5.0,0.8948348164558411,0.644149899482727
637531.0,1.284540057182312,43.0,1,1.0,0.0,1,1,0.0,19.58333396911621,4.0,1.641274094581604,1.977243542671204
643423.0,1.0244659185409546,67.0,1,1.0,0.0,1,1,0.0,52.66666793823242,5.0,0.5881105661392212,0.5616833567619324
643505.0,1.4861538410186768,59.0,1,1.0,0.0,1,1,0.0,39.5,5.0,1.2784303426742554,1.4925868511199951
646023.0,1.041540265083313,68.0,1,1.0,0.0,1,1,0.0,49.08333206176758,5.0,0.7970778346061707,0.9495469331741332
646157.0,0.9090155363082886,55.0,1,1.0,1.0,1,1,0.0,6.416666507720947,5.0,0.9398373961448668,0.5439673662185669
648619.0,1.3549860715866089,46.0,0,0.0,0.0,1,1,0.0,19.16666603088379,5.0,1.3459630012512207,1.399314045906067
648669.0,1.041540265083313,61.0,1,1.0,0.0,1,1,0.0,36.58333206176758,4.0,0.6078540682792664,0.5273409485816956
650237.0,1.172142744064331,65.0,0,1.0,0.0,1,1,0.0,18.08333396911621,5.0,1.0317354202270508,0.928194224834442
651259.0,1.1213717460632324,38.0,1,1.0,0.0,1,1,0.0,13.333333015441896,4.0,1.0099583864212036,0.8461664319038391
651349.0,0.8049858808517456,61.0,0,1.0,0.0,1,1,0.0,34.75,5.0,0.3703023791313171,0.3480276465415954
653633.0,0.820703387260437,66.0,0,1.0,0.0,1,1,0.0,45.33333206176758,5.0,0.3764949142932892,0.3075389862060547
654043.0,1.375226616859436,35.0,1,1.0,1.0,1,0,0.0,14.666666984558104,5.0,1.586853265762329,0.7037667632102966
654589.0,0.3421670794486999,64.0,1,1.0,0.0,1,1,0.0,39.91666793823242,3.0,0.2035473436117172,0.2469449937343597
654967.0,1.0751237869262695,26.0,1,1.0,0.0,1,0,0.0,9.166666984558104,1.0,1.0950052738189695,0.7037667632102966
657869.0,0.9077717065811156,60.0,0,1.0,0.0,1,1,0.0,42.58333206176758,5.0,0.44441619515419,0.422381192445755
659217.0,1.5052636861801147,59.0,0,1.0,0.0,1,0,0.0,31.83333396911621,5.0,1.000961184501648,0.7037667632102966
659879.0,1.0465155839920044,43.0,0,0.0,0.0,0,0,0.0,23.0,4.0,0.7667275965213776,0.7037667632102966
662355.0,0.2210379540920257,71.0,1,1.0,0.0,1,1,0.0,38.16666793823242,4.0,0.1460463255643844,0.2511864304542541
692169.0,0.9930307865142822,60.0,1,1.0,0.0,0,1,0.0,40.25,5.0,0.7667275965213776,0.8904862403869629
694725.0,0.9731294512748718,56.0,1,1.0,0.0,1,1,0.0,11.5,5.0,0.6293272972106934,0.550832211971283
694739.0,1.069469928741455,57.0,1,1.0,0.0,1,1,0.0,39.08333206176758,5.0,0.8258543014526367,1.165566325187683
697337.0,1.0063737630844116,70.0,0,1.0,0.0,0,0,0.0,49.33333206176758,5.0,0.7667275965213776,0.7037667632102966
698117.0,1.142629861831665,34.0,1,1.0,0.0,1,1,0.0,8.166666984558105,5.0,0.9337536096572876,0.8425607085227966
703017.0,1.051264762878418,58.0,1,1.0,0.0,1,1,0.0,30.25,4.0,1.1072914600372314,0.8975730538368225
704661.0,0.8908103704452515,73.0,1,1.0,0.0,1,1,0.0,57.83333206176758,5.0,0.8279163837432861,0.6495617628097534
704807.0,0.7725331783294678,72.0,1,0.0,0.0,1,1,0.0,51.58333206176758,5.0,0.4044772684574127,0.6086429953575134
705457.0,1.113117218017578,29.0,1,1.0,0.0,1,1,0.0,5.166666507720947,5.0,1.2151943445205688,0.9968456625938416
707695.0,1.3549860715866089,53.0,0,1.0,0.0,0,0,0.0,31.08333396911621,4.0,0.7667275965213776,0.7037667632102966
709075.0,0.8472762107849121,65.0,1,1.0,0.0,1,1,0.0,36.75,5.0,0.5366818308830261,0.6452986598014832
709173.0,1.039165735244751,64.0,0,1.0,0.0,1,1,0.0,38.83333206176758,5.0,0.5985230207443237,0.4766519367694855
713873.0,1.290193796157837,65.0,0,1.0,0.0,0,0,0.0,45.66666793823242,5.0,0.7667275965213776,0.7037667632102966
716613.0,0.7910775542259216,79.0,0,1.0,0.0,0,0,0.0,31.08333396911621,5.0,0.7667275965213776,0.7037667632102966
716931.0,0.8791635632514954,74.0,1,1.0,0.0,1,0,0.0,33.0,5.0,0.5546627640724182,0.7037667632102966
718501.0,0.8412832617759705,60.0,0,1.0,0.0,0,0,0.0,33.25,5.0,0.7667275965213776,0.7037667632102966
720815.0,0.3678352534770965,59.0,1,1.0,0.0,1,0,0.0,18.08333396911621,5.0,0.2750642895698547,0.7037667632102966
723769.0,0.8617498874664307,76.0,0,1.0,0.0,0,0,0.0,46.16666793823242,5.0,0.7667275965213776,0.7037667632102966
724199.0,2.3930211067199707,36.0,0,0.0,0.0,1,1,0.0,1.6666666269302368,3.0,3.2336199283599854,3.764296531677246
726183.0,0.954698085784912,50.0,0,1.0,0.0,1,1,0.0,27.83333396911621,4.0,0.7726646661758423,0.6517515182495117
726431.0,1.04493248462677,53.0,1,0.0,1.0,1,1,0.0,1.3333333730697632,4.0,1.0695855617523191,1.0329177379608154
727775.0,1.1525806188583374,41.0,1,1.0,0.0,1,1,0.0,19.75,4.0,1.2900621891021729,1.209751009941101
728327.0,0.7221013903617859,60.0,0,1.0,0.0,1,1,0.0,38.08333206176758,5.0,0.3481923043727875,0.3182728290557861
729319.0,1.3925273418426514,60.0,0,1.0,0.0,1,1,0.0,31.66666603088379,4.0,0.7955770492553711,0.7728847861289978
729451.0,1.59979510307312,55.0,1,1.0,0.0,0,0,0.0,39.75,3.0,0.7667275965213776,0.7037667632102966
730375.0,1.9463720321655276,64.0,1,1.0,0.0,1,0,0.0,20.25,4.0,3.585433006286621,0.7037667632102966
730391.0,1.0063737630844116,79.0,0,1.0,0.0,1,1,0.0,59.5,5.0,0.8648355007171631,0.7333812713623047
731249.0,0.8049858808517456,64.0,0,1.0,0.0,1,1,0.0,22.41666603088379,4.0,0.5689363479614258,0.4294354617595672
731629.0,0.9334399104118348,51.0,0,1.0,0.0,1,1,0.0,34.08333206176758,5.0,0.7632389664649963,0.5642961263656616
734689.0,0.8633329272270203,58.0,0,1.0,0.0,1,1,0.0,41.0,4.0,0.5338716506958008,0.4285980463027954
736409.0,1.0528478622436523,28.0,0,0.0,0.0,1,1,0.0,0.6666666865348816,4.0,0.8047033548355103,0.6357003450393677
738313.0,1.101244330406189,55.0,1,1.0,0.0,0,0,0.0,41.33333206176758,5.0,0.7667275965213776,0.7037667632102966
742989.0,0.8653683066368103,67.0,0,0.0,0.0,0,0,0.0,41.25,4.0,0.7667275965213776,0.7037667632102966
744235.0,0.9552634954452516,27.0,1,0.0,0.0,1,0,0.0,10.0,5.0,0.760840117931366,0.7037667632102966
